,date,County,county_fips,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_square_feet,average_listing_price,total_listing_count
57,6/1/2022,cherokee,37039,362500,271,38,148,8,76,1904,407510,467
144,6/1/2022,craven,37049,313500,154,36,196,12,48,1927,396716,581
161,6/1/2022,catawba,37035,342450,207,34,224,0,96,1923,521108,508
240,6/1/2022,gaston,37071,330000,283,30,412,12,200,1668,377406,828
280,6/1/2022,warren,37185,275000,19,68,12,0,4,1824,419452,29
283,6/1/2022,lenoir,37107,200000,75,38,68,8,20,1810,211563,143
293,6/1/2022,lee,37105,341450,93,19,128,0,24,2325,411072,242
321,6/1/2022,henderson,37089,552500,235,39,212,4,88,2167,862483,556
323,6/1/2022,beaufort,37013,324450,77,39,60,0,24,1900,383134,152
429,6/1/2022,hertford,37091,192000,23,57,16,0,0,2052,245064,41
463,6/1/2022,onslow,37133,318100,391,36,616,32,120,1780,470545,1671
504,6/1/2022,ashe,37009,485000,76,31,48,0,20,1907,592879,137
523,6/1/2022,currituck,37053,560200,243,38,136,12,68,2600,956519,395
547,6/1/2022,dare,37055,697000,296,42,200,0,104,2068,946733,528
554,6/1/2022,transylvania,37175,662500,118,39,80,0,40,2016,921558,208
593,6/1/2022,sampson,37163,279900,52,26,36,0,8,1967,274562,128
685,6/1/2022,union,37179,520000,372,29,512,24,200,2516,739675,1196
747,6/1/2022,rowan,37159,275000,214,33,232,12,92,1551,351892,466
776,6/1/2022,graham,37075,368200,46,53,12,0,16,1740,491613,66
799,6/1/2022,caswell,37033,497000,8,33,4,0,0,2236,1039901,22
806,6/1/2022,pasquotank,37139,354995,130,37,104,4,48,2161,352796,213
817,6/1/2022,hyde,37095,567500,17,81,4,0,4,1551,544298,32
818,6/1/2022,mcdowell,37111,399000,73,41,56,0,20,1821,532850,142
849,6/1/2022,edgecombe,37065,179900,50,55,40,0,20,1533,192314,168
867,6/1/2022,buncombe,37021,612450,485,36,480,16,224,2094,915350,1262
876,6/1/2022,pender,37141,485500,122,34,132,12,32,2522,591493,381
891,6/1/2022,halifax,37083,321250,70,47,24,0,16,2459,608927,146
922,6/1/2022,franklin,37069,449500,120,26,120,0,32,2311,492249,188
933,6/1/2022,pamlico,37137,446500,32,44,24,0,8,2017,527443,63
950,6/1/2022,yadkin,37197,269900,21,50,20,0,12,2758,365966,64
968,6/1/2022,gates,37073,170750,16,37,12,0,4,1678,198185,27
969,6/1/2022,rutherford,37161,305000,123,38,108,0,40,1774,463749,284
973,6/1/2022,columbus,37047,286750,50,30,44,0,16,1899,322403,100
985,6/1/2022,clay,37043,399450,106,39,48,0,40,2240,486263,159
1015,6/1/2022,durham,37063,462500,407,17,504,8,180,1842,614531,688
1030,6/1/2022,wilson,37195,264900,79,18,124,0,16,1565,309429,231
1032,6/1/2022,hoke,37093,304370,100,16,176,12,24,2200,319421,325
1143,6/1/2022,tyrrell,37177,195000,11,66,4,0,0,1441,298161,15
1154,6/1/2022,davie,37059,255515,79,43,84,8,28,1729,348467,182
1171,6/1/2022,perquimans,37143,350000,33,58,24,0,0,1867,386043,59
1193,6/1/2022,alamance,37001,382500,298,18,452,12,108,2112,443362,644
1221,6/1/2022,johnston,37101,403450,359,18,436,36,140,2154,441529,749
