Date,30_Year_Fixed_Rate
2022-06,5.52
2022-05,5.23
2022-04,4.98
2022-03,4.17
2022-02,3.76
2022-01,3.45
2021-12,3.10
2021-11,3.07
2021-10,3.07
2021-09,2.90
2021-08,2.84
2021-07,2.87
2021-06,2.98
2021-05,2.96
2021-04,3.06
2021-03,3.08
2021-02,2.81
2021-01,2.74
2020-12,2.68
2020-11,2.77
2020-10,2.83
2020-09,2.89
2020-08,2.94
2020-07,3.02
2020-06,3.16
2020-05,3.23
2020-04,3.31
2020-03,3.45
2020-02,3.47
2020-01,3.62
2019-12,3.72
2019-11,3.70
2019-10,3.69
2019-09,3.61
2019-08,3.62
2019-07,3.77
2019-06,3.80
2019-05,4.07
2019-04,4.14
2019-03,4.27
2019-02,4.37
2019-01,4.46
2018-12,4.64
2018-11,4.87
2018-10,4.83
2018-09,4.63
2018-08,4.55
2018-07,4.53
2018-06,4.57
2018-05,4.59
2018-04,4.47
2018-03,4.44
2018-02,4.33
2018-01,4.03
2017-12,3.95
2017-11,3.92
2017-10,3.90
2017-09,3.81
2017-08,3.88
2017-07,3.97
2017-06,3.90
2017-05,4.01
2017-04,4.05
2017-03,4.20
2017-02,4.17
2017-01,4.15
2016-12,4.20
2016-11,3.77
2016-10,3.47
2016-09,3.46
2016-08,3.44
2016-07,3.44
