DATE,ATNHPIUS37183A
1975-01-01,27.03
1976-01-01,29.16
1977-01-01,31.60
1978-01-01,35.12
1979-01-01,38.99
1980-01-01,42.42
1981-01-01,46.73
1982-01-01,48.02
1983-01-01,49.13
1984-01-01,55.17
1985-01-01,60.57
1986-01-01,64.31
1987-01-01,65.74
1988-01-01,67.28
1989-01-01,68.28
1990-01-01,69.26
1991-01-01,70.05
1992-01-01,71.33
1993-01-01,73.15
1994-01-01,78.32
1995-01-01,83.78
1996-01-01,86.44
1997-01-01,89.80
1998-01-01,92.63
1999-01-01,95.85
2000-01-01,100.00
2001-01-01,103.53
2002-01-01,105.58
2003-01-01,106.63
2004-01-01,108.93
2005-01-01,114.56
2006-01-01,122.27
2007-01-01,129.77
2008-01-01,133.08
2009-01-01,129.97
2010-01-01,124.97
2011-01-01,121.44
2012-01-01,119.63
2013-01-01,122.18
2014-01-01,128.54
2015-01-01,134.11
2016-01-01,142.56
2017-01-01,152.45
2018-01-01,161.62
2019-01-01,170.04
2020-01-01,174.86
2021-01-01,198.10
