,date,County,county_fips,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_square_feet,average_listing_price,total_listing_count
57,2022-06-01,cherokee,37039,362500.0,271.0,38.0,148.0,8.0,76.0,1904.0,407510.0,467.0
144,2022-06-01,craven,37049,313500.0,154.0,36.0,196.0,12.0,48.0,1927.0,396716.0,581.0
161,2022-06-01,catawba,37035,342450.0,207.0,34.0,224.0,0.0,96.0,1923.0,521108.0,508.0
240,2022-06-01,gaston,37071,330000.0,283.0,30.0,412.0,12.0,200.0,1668.0,377406.0,828.0
280,2022-06-01,warren,37185,275000.0,19.0,68.0,12.0,0.0,4.0,1824.0,419452.0,29.0
283,2022-06-01,lenoir,37107,200000.0,75.0,38.0,68.0,8.0,20.0,1810.0,211563.0,143.0
293,2022-06-01,lee,37105,341450.0,93.0,19.0,128.0,0.0,24.0,2325.0,411072.0,242.0
321,2022-06-01,henderson,37089,552500.0,235.0,39.0,212.0,4.0,88.0,2167.0,862483.0,556.0
323,2022-06-01,beaufort,37013,324450.0,77.0,39.0,60.0,0.0,24.0,1900.0,383134.0,152.0
429,2022-06-01,hertford,37091,192000.0,23.0,57.0,16.0,0.0,0.0,2052.0,245064.0,41.0
463,2022-06-01,onslow,37133,318100.0,391.0,36.0,616.0,32.0,120.0,1780.0,470545.0,1671.0
504,2022-06-01,ashe,37009,485000.0,76.0,31.0,48.0,0.0,20.0,1907.0,592879.0,137.0
523,2022-06-01,currituck,37053,560200.0,243.0,38.0,136.0,12.0,68.0,2600.0,956519.0,395.0
547,2022-06-01,dare,37055,697000.0,296.0,42.0,200.0,0.0,104.0,2068.0,946733.0,528.0
554,2022-06-01,transylvania,37175,662500.0,118.0,39.0,80.0,0.0,40.0,2016.0,921558.0,208.0
593,2022-06-01,sampson,37163,279900.0,52.0,26.0,36.0,0.0,8.0,1967.0,274562.0,128.0
685,2022-06-01,union,37179,520000.0,372.0,29.0,512.0,24.0,200.0,2516.0,739675.0,1196.0
747,2022-06-01,rowan,37159,275000.0,214.0,33.0,232.0,12.0,92.0,1551.0,351892.0,466.0
776,2022-06-01,graham,37075,368200.0,46.0,53.0,12.0,0.0,16.0,1740.0,491613.0,66.0
799,2022-06-01,caswell,37033,497000.0,8.0,33.0,4.0,0.0,0.0,2236.0,1039901.0,22.0
806,2022-06-01,pasquotank,37139,354995.0,130.0,37.0,104.0,4.0,48.0,2161.0,352796.0,213.0
817,2022-06-01,hyde,37095,567500.0,17.0,81.0,4.0,0.0,4.0,1551.0,544298.0,32.0
818,2022-06-01,mcdowell,37111,399000.0,73.0,41.0,56.0,0.0,20.0,1821.0,532850.0,142.0
849,2022-06-01,edgecombe,37065,179900.0,50.0,55.0,40.0,0.0,20.0,1533.0,192314.0,168.0
867,2022-06-01,buncombe,37021,612450.0,485.0,36.0,480.0,16.0,224.0,2094.0,915350.0,1262.0
876,2022-06-01,pender,37141,485500.0,122.0,34.0,132.0,12.0,32.0,2522.0,591493.0,381.0
891,2022-06-01,halifax,37083,321250.0,70.0,47.0,24.0,0.0,16.0,2459.0,608927.0,146.0
922,2022-06-01,franklin,37069,449500.0,120.0,26.0,120.0,0.0,32.0,2311.0,492249.0,188.0
933,2022-06-01,pamlico,37137,446500.0,32.0,44.0,24.0,0.0,8.0,2017.0,527443.0,63.0
950,2022-06-01,yadkin,37197,269900.0,21.0,50.0,20.0,0.0,12.0,2758.0,365966.0,64.0
968,2022-06-01,gates,37073,170750.0,16.0,37.0,12.0,0.0,4.0,1678.0,198185.0,27.0
969,2022-06-01,rutherford,37161,305000.0,123.0,38.0,108.0,0.0,40.0,1774.0,463749.0,284.0
973,2022-06-01,columbus,37047,286750.0,50.0,30.0,44.0,0.0,16.0,1899.0,322403.0,100.0
985,2022-06-01,clay,37043,399450.0,106.0,39.0,48.0,0.0,40.0,2240.0,486263.0,159.0
1015,2022-06-01,durham,37063,462500.0,407.0,17.0,504.0,8.0,180.0,1842.0,614531.0,688.0
1030,2022-06-01,wilson,37195,264900.0,79.0,18.0,124.0,0.0,16.0,1565.0,309429.0,231.0
1032,2022-06-01,hoke,37093,304370.0,100.0,16.0,176.0,12.0,24.0,2200.0,319421.0,325.0
1143,2022-06-01,tyrrell,37177,195000.0,11.0,66.0,4.0,0.0,0.0,1441.0,298161.0,15.0
1154,2022-06-01,davie,37059,255515.0,79.0,43.0,84.0,8.0,28.0,1729.0,348467.0,182.0
1171,2022-06-01,perquimans,37143,350000.0,33.0,58.0,24.0,0.0,0.0,1867.0,386043.0,59.0
1193,2022-06-01,alamance,37001,382500.0,298.0,18.0,452.0,12.0,108.0,2112.0,443362.0,644.0
1221,2022-06-01,johnston,37101,403450.0,359.0,18.0,436.0,36.0,140.0,2154.0,441529.0,749.0
1262,2022-06-01,montgomery,37123,219000.0,10.0,36.0,8.0,0.0,4.0,1441.0,297676.0,20.0
1277,2022-06-01,guilford,37081,349900.0,505.0,28.0,892.0,32.0,220.0,2065.0,420762.0,1772.0
1314,2022-06-01,jones,37103,319450.0,9.0,25.0,8.0,0.0,4.0,2106.0,407547.0,17.0
1331,2022-06-01,wayne,37191,243900.0,160.0,25.0,196.0,4.0,40.0,2098.0,301819.0,432.0
1348,2022-06-01,anson,37007,170000.0,22.0,34.0,16.0,0.0,8.0,1502.0,262240.0,48.0
