County,violent_crime_rate,Year
Alamance,403,2016
Alexander,224,2016
Alleghany,138.1,2016
Anson,443.6,2016
Ashe,106.1,2016
Avery,221.1,2016
Beaufort,291.6,2016
Bertie,200,2016
Bladen,,2016
Brunswick,147.6,2016
Buncombe,282.6,2016
Burke,206.9,2016
Cabarrus,136.6,2016
Caldwell,197.3,2016
Camden,98.2,2016
Carteret,239.2,2016
Caswell,309.2,2016
Catawba,280.3,2016
Chatham,166.8,2016
Cherokee,210.6,2016
Chowan,591.4,2016
Clay,235.6,2016
Cleveland,167.8,2016
Columbus,348.7,2016
Craven,281.1,2016
Johnston,176.8,2016
Jones,,2016
Lee,218.4,2016
Lenoir,657.7,2016
Lincoln,149.9,2016
Macon,86.3,2016
Madison,34.7,2016
Martin,400.1,2016
McDowell,161.9,2016
Mecklenburg,658,2016
Mitchell,,2016
Montgomery,240.8,2016
Moore,166.9,2016
Nash,360.9,2016
NewHanover,437,2016
Northampton,190.4,2016
Onslow,261.1,2016
Orange,172.8,2016
Pamlico,48.9,2016
Pasquotank,422.4,2016
Pender,112.4,2016
Perquimans,153.4,2016
Person,262.8,2016
Pitt,427.8,2016
Polk,86.4,2016
Cumberland,670.7,2016
Currituck,144.4,2016
Dare,222.2,2016
Davidson,166,2016
Davie,163.7,2016
Duplin,215.8,2016
Durham,795.4,2016
Edgecombe,565.2,2016
Forsyth,651.5,2016
Franklin,147.2,2016
Gaston,473.5,2016
Gates,,2016
Graham,347.6,2016
Granville,304.5,2016
Greene,,2016
Guilford,541.4,2016
Halifax,425.6,2016
Harnett,278.5,2016
Haywood,306.8,2016
Henderson,151.1,2016
Hertford,287,2016
Hoke,158.4,2016
Hyde,,2016
Iredell,312.6,2016
Jackson,211.4,2016
Randolph,198.2,2016
Richmond,566.7,2016
Robeson,779.4,2016
Rockingham,308.5,2016
Rowan,418.9,2016
Rutherford,252.8,2016
Sampson,241.2,2016
Scotland,744.3,2016
Stanly,273.3,2016
Stokes,153.8,2016
Surry,167.9,2016
Swain,199,2016
Transylvania,112.6,2016
Tyrrell,189.7,2016
Union,215.4,2016
Vance,507.8,2016
Wake,244,2016
Warren,185.6,2016
Washington,,2016
Watauga,125.6,2016
Wayne,442,2016
Wilkes,208.4,2016
Wilson,398.9,2016
Yadkin,231.2,2016
Yancey,55.7,2016
