Date,Year,County,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_square_feet,average_listing_price,total_listing_count,violent_crime_rate,30_Year_Fixed_Rate,Number_of_Schools,median_listing_price_mm,Number_of_Parks
2022-06,2022,Alamance,382500,298,18,452,12,108,2112,443362,644,,5.52,,0.03406326,54
2022-06,2022,Alexander,312450,34,35,28,0,20,1942,370648,59,,5.52,,0.016428107,25
2022-06,2022,Alleghany,389000,54,39,24,0,20,1904,422802,92,,5.52,,-0.038200025,0
2022-06,2022,Anson,170000,22,34,16,0,8,1502,262240,48,,5.52,,0.218637993,3
2022-06,2022,Ashe,485000,76,31,48,0,20,1907,592879,137,,5.52,,-0.088345865,5
2022-06,2022,Avery,359910,55,33,40,0,20,1713,742302,78,,5.52,,-0.203738938,9
2022-06,2022,Beaufort,324450,77,39,60,0,24,1900,383134,152,,5.52,,0.081503605,18
2022-06,2022,Bertie,135950,18,78,12,0,0,1463,148694,28,,5.52,,0.030314513,10
2022-06,2022,Bladen,222450,28,38,8,0,8,1747,462252,45,,5.52,,-0.069246862,9
2022-06,2022,Brunswick,440293,672,33,656,68,220,1856,640375,1918,,5.52,,-0.001179639,70
2022-06,2022,Buncombe,612450,485,36,480,16,224,2094,915350,1262,,5.52,,-0.057769231,211
2022-06,2022,Burke,307000,59,41,60,0,20,1870,431735,149,,5.52,,0.119416591,118
2022-06,2022,Cabarrus,382688,240,27,360,4,164,1862,436228,707,,5.52,,0.047401394,120
2022-06,2022,Caldwell,287450,81,33,84,0,32,1914,441686,172,,5.52,,0.055055974,85
2022-06,2022,Camden,389900,62,63,24,0,16,2232,383653,86,,5.52,,-0.011535049,9
2022-06,2022,Carteret,508750,240,35,204,8,64,1876,669553,627,,5.52,,0.0298583,44
2022-06,2022,Caswell,497000,8,33,4,0,0,2236,1039901,22,,5.52,,0.004040404,37
2022-06,2022,Catawba,342450,207,34,224,0,96,1923,521108,508,,5.52,,-0.042097902,65
2022-06,2022,Chatham,757500,140,30,128,0,32,3035,836338,215,,5.52,,0.10989011,90
2022-06,2022,Cherokee,362500,271,38,148,8,76,1904,407510,467,,5.52,,-0.052163682,2
2022-06,2022,Chowan,296000,44,45,20,0,16,1723,310210,74,,5.52,,-0.010033445,4
2022-06,2022,Clay,399450,106,39,48,0,40,2240,486263,159,,5.52,,0.00112782,5
2022-06,2022,Cleveland,246500,126,24,104,4,40,1526,369211,247,,5.52,,-0.0329541,38
2022-06,2022,Columbus,286750,50,30,44,0,16,1899,322403,100,,5.52,,0.016843972,5
2022-06,2022,Craven,313500,154,36,196,12,48,1927,396716,581,,5.52,,0.039800995,63
2022-06,2022,Cumberland,269750,438,19,648,36,192,1950,296689,1548,,5.52,,0.068528421,83
2022-06,2022,Currituck,560200,243,38,136,12,68,2600,956519,395,,5.52,,0.05377408,3
2022-06,2022,Dare,697000,296,42,200,0,104,2068,946733,528,,5.52,,-0.03862069,22
2022-06,2022,Davidson,291745,181,35,196,24,80,1864,341107,561,,5.52,,0.019232113,126
