Date,Year,County,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_square_feet,average_listing_price,total_listing_count,violent_crime_rate,30_Year_Fixed_Rate,Number_of_Schools,median_listing_price_mm,Number_of_Parks,Price_Status
2022-06,2022,Cherokee,362500.0,271.0,38.0,148.0,8.0,76.0,1904.0,407510.0,467.0,,5.52,,-0.052163682,2.0,down
2022-06,2022,Craven,313500.0,154.0,36.0,196.0,12.0,48.0,1927.0,396716.0,581.0,,5.52,,0.039800995,63.0,up
2022-06,2022,Catawba,342450.0,207.0,34.0,224.0,0.0,96.0,1923.0,521108.0,508.0,,5.52,,-0.042097902,65.0,down
2022-06,2022,Gaston,330000.0,283.0,30.0,412.0,12.0,200.0,1668.0,377406.0,828.0,,5.52,,0.039370079,99.0,up
2022-06,2022,Warren,275000.0,19.0,68.0,12.0,0.0,4.0,1824.0,419452.0,29.0,,5.52,,,1.0,down
2022-06,2022,Lenoir,200000.0,75.0,38.0,68.0,8.0,20.0,1810.0,211563.0,143.0,,5.52,,0.093493712,13.0,up
2022-06,2022,Lee,341450.0,93.0,19.0,128.0,0.0,24.0,2325.0,411072.0,242.0,,5.52,,0.054020682,22.0,up
2022-06,2022,Henderson,552500.0,235.0,39.0,212.0,4.0,88.0,2167.0,862483.0,556.0,,5.52,,-0.022123894,104.0,down
2022-06,2022,Beaufort,324450.0,77.0,39.0,60.0,0.0,24.0,1900.0,383134.0,152.0,,5.52,,0.081503605,18.0,up
2022-06,2022,Hertford,192000.0,23.0,57.0,16.0,0.0,0.0,2052.0,245064.0,41.0,,5.52,,,3.0,down
2022-06,2022,Onslow,318100.0,391.0,36.0,616.0,32.0,120.0,1780.0,470545.0,1671.0,,5.52,,0.013218665,58.0,up
2022-06,2022,Ashe,485000.0,76.0,31.0,48.0,0.0,20.0,1907.0,592879.0,137.0,,5.52,,-0.088345865,5.0,down
2022-06,2022,Currituck,560200.0,243.0,38.0,136.0,12.0,68.0,2600.0,956519.0,395.0,,5.52,,,3.0,down
2022-06,2022,Dare,697000.0,296.0,42.0,200.0,0.0,104.0,2068.0,946733.0,528.0,,5.52,,-0.03862069,22.0,down
2022-06,2022,Transylvania,662500.0,118.0,39.0,80.0,0.0,40.0,2016.0,921558.0,208.0,,5.52,,0.090714521,17.0,up
2022-06,2022,Sampson,279900.0,52.0,26.0,36.0,0.0,8.0,1967.0,274562.0,128.0,,5.52,,0.035803497,22.0,up
2022-06,2022,Union,520000.0,372.0,29.0,512.0,24.0,200.0,2516.0,739675.0,1196.0,,5.52,,-0.009429469,130.0,down
2022-06,2022,Rowan,275000.0,214.0,33.0,232.0,12.0,92.0,1551.0,351892.0,466.0,,5.52,,-0.00883042,119.0,down
2022-06,2022,Graham,368200.0,46.0,53.0,12.0,0.0,16.0,1740.0,491613.0,66.0,,5.52,,,1.0,down
2022-06,2022,Caswell,497000.0,8.0,33.0,4.0,0.0,0.0,2236.0,1039901.0,22.0,,5.52,,,37.0,down
2022-06,2022,Pasquotank,354995.0,130.0,37.0,104.0,4.0,48.0,2161.0,352796.0,213.0,,5.52,,0.05733518,21.0,up
2022-06,2022,Hyde,567500.0,17.0,81.0,4.0,0.0,4.0,1551.0,544298.0,32.0,,5.52,,,0.0,down
2022-06,2022,Mcdowell,399000.0,73.0,41.0,56.0,0.0,20.0,1821.0,532850.0,142.0,,5.52,,0.0390625,,up
2022-06,2022,Edgecombe,179900.0,50.0,55.0,40.0,0.0,20.0,1533.0,192314.0,168.0,,5.52,,-0.193707422,83.0,down
2022-06,2022,Buncombe,612450.0,485.0,36.0,480.0,16.0,224.0,2094.0,915350.0,1262.0,,5.52,,-0.057769231,211.0,down
2022-06,2022,Pender,485500.0,122.0,34.0,132.0,12.0,32.0,2522.0,591493.0,381.0,,5.52,,0.020708504,50.0,up
2022-06,2022,Halifax,321250.0,70.0,47.0,24.0,0.0,16.0,2459.0,608927.0,146.0,,5.52,,0.120313862,20.0,up
2022-06,2022,Franklin,449500.0,120.0,26.0,120.0,0.0,32.0,2311.0,492249.0,188.0,,5.52,,0.02969036,58.0,up
2022-06,2022,Pamlico,446500.0,32.0,44.0,24.0,0.0,8.0,2017.0,527443.0,63.0,,5.52,,,10.0,down
2022-06,2022,Yadkin,269900.0,21.0,50.0,20.0,0.0,12.0,2758.0,365966.0,64.0,,5.52,,-0.044263456,4.0,down
2022-06,2022,Gates,170750.0,16.0,37.0,12.0,0.0,4.0,1678.0,198185.0,27.0,,5.52,,,2.0,down
2022-06,2022,Rutherford,305000.0,123.0,38.0,108.0,0.0,40.0,1774.0,463749.0,284.0,,5.52,,-0.07701619,25.0,down
2022-06,2022,Columbus,286750.0,50.0,30.0,44.0,0.0,16.0,1899.0,322403.0,100.0,,5.52,,0.016843972,5.0,up
2022-06,2022,Clay,399450.0,106.0,39.0,48.0,0.0,40.0,2240.0,486263.0,159.0,,5.52,,,5.0,down
2022-06,2022,Durham,462500.0,407.0,17.0,504.0,8.0,180.0,1842.0,614531.0,688.0,,5.52,,-0.000346,412.0,down
2022-06,2022,Wilson,264900.0,79.0,18.0,124.0,0.0,16.0,1565.0,309429.0,231.0,,5.52,,0.059811962,70.0,up
2022-06,2022,Hoke,304370.0,100.0,16.0,176.0,12.0,24.0,2200.0,319421.0,325.0,,5.52,,-0.011368435,24.0,down
2022-06,2022,Tyrrell,195000.0,11.0,66.0,4.0,0.0,0.0,1441.0,298161.0,15.0,,5.52,,,0.0,down
2022-06,2022,Davie,255515.0,79.0,43.0,84.0,8.0,28.0,1729.0,348467.0,182.0,,5.52,,0.098989247,9.0,up
2022-06,2022,Perquimans,350000.0,33.0,58.0,24.0,0.0,0.0,1867.0,386043.0,59.0,,5.52,,,4.0,down
2022-06,2022,Alamance,382500.0,298.0,18.0,452.0,12.0,108.0,2112.0,443362.0,644.0,,5.52,,0.03406326,54.0,up
2022-06,2022,Johnston,403450.0,359.0,18.0,436.0,36.0,140.0,2154.0,441529.0,749.0,,5.52,,-0.009817155,248.0,down
2022-06,2022,Montgomery,219000.0,10.0,36.0,8.0,0.0,4.0,1441.0,297676.0,20.0,,5.52,,0.216666667,10.0,up
2022-06,2022,Guilford,349900.0,505.0,28.0,892.0,32.0,220.0,2065.0,420762.0,1772.0,,5.52,,0.038278932,788.0,up
2022-06,2022,Jones,319450.0,9.0,25.0,8.0,0.0,4.0,2106.0,407547.0,17.0,,5.52,,,18.0,down
2022-06,2022,Wayne,243900.0,160.0,25.0,196.0,4.0,40.0,2098.0,301819.0,432.0,,5.52,,-0.010146104,36.0,down
2022-06,2022,Anson,170000.0,22.0,34.0,16.0,0.0,8.0,1502.0,262240.0,48.0,,5.52,,,3.0,down
2022-06,2022,Richmond,174900.0,68.0,41.0,44.0,0.0,40.0,1422.0,253593.0,124.0,,5.52,,0.03216288,15.0,up
2022-06,2022,Orange,607500.0,125.0,14.0,164.0,0.0,44.0,2439.0,789397.0,209.0,,5.52,,-0.030327215,126.0,down
2022-06,2022,Caldwell,287450.0,81.0,33.0,84.0,0.0,32.0,1914.0,441686.0,172.0,,5.52,,0.055055974,85.0,up
2022-06,2022,Wilkes,407000.0,83.0,35.0,76.0,0.0,32.0,2487.0,521216.0,155.0,,5.52,,-0.093541203,34.0,down
2022-06,2022,Moore,449500.0,241.0,27.0,212.0,8.0,64.0,2426.0,591396.0,688.0,,5.52,,-0.001111111,61.0,down
2022-06,2022,Northampton,266000.0,21.0,50.0,16.0,0.0,8.0,1918.0,359486.0,39.0,,5.52,,,4.0,down
2022-06,2022,Mecklenburg,489900.0,1436.0,27.0,2216.0,96.0,772.0,2103.0,684151.0,4676.0,,5.52,,-0.003255341,905.0,down
2022-06,2022,Alleghany,389000.0,54.0,39.0,24.0,0.0,20.0,1904.0,422802.0,92.0,,5.52,,,0.0,down
2022-06,2022,Cleveland,246500.0,126.0,24.0,104.0,4.0,40.0,1526.0,369211.0,247.0,,5.52,,-0.0329541,38.0,down
2022-06,2022,Brunswick,440293.0,672.0,33.0,656.0,68.0,220.0,1856.0,640375.0,1918.0,,5.52,,-0.00117964,70.0,down
2022-06,2022,Yancey,559950.0,95.0,38.0,44.0,0.0,28.0,1917.0,935383.0,137.0,,5.52,,,4.0,down
2022-06,2022,Lincoln,485585.0,125.0,36.0,132.0,8.0,52.0,2391.0,645800.0,402.0,,5.52,,0.027692063,27.0,up
2022-06,2022,Nash,302450.0,141.0,31.0,132.0,4.0,52.0,1870.0,328407.0,288.0,,5.52,,0.04329079,64.0,up
2022-06,2022,Carteret,508750.0,240.0,35.0,204.0,8.0,64.0,1876.0,669553.0,627.0,,5.52,,0.0298583,44.0,up
2022-06,2022,Madison,556950.0,64.0,40.0,32.0,0.0,24.0,2053.0,722343.0,118.0,,5.52,,,6.0,down
