ZIP_CODE,PO_NAME,STATE,ZCTA,zip_join_type,count_open_parks
27006,Advance,NC,27006,Zip matches ZCTA,0
27007,Ararat,NC,27007,Zip matches ZCTA,0
27009,Belews Creek,NC,27009,Zip matches ZCTA,0
27010,Bethania,NC,27106,Spatial join to ZCTA,15
27106,Winston Salem,NC,27106,Zip matches ZCTA,15
27116,Winston Salem,NC,27106,Spatial join to ZCTA,15
27011,Boonville,NC,27011,Zip matches ZCTA,0
27012,Clemmons,NC,27012,Zip matches ZCTA,2
27013,Cleveland,NC,27013,Zip matches ZCTA,0
27014,Cooleemee,NC,27014,Zip matches ZCTA,0
27016,Danbury,NC,27016,Zip matches ZCTA,0
27017,Dobson,NC,27017,Zip matches ZCTA,0
27018,East Bend,NC,27018,Zip matches ZCTA,0
27019,Germanton,NC,27019,Zip matches ZCTA,1
27020,Hamptonville,NC,27020,Zip matches ZCTA,0
27021,King,NC,27021,Zip matches ZCTA,2
27022,Lawsonville,NC,27022,Zip matches ZCTA,0
27023,Lewisville,NC,27023,Zip matches ZCTA,5
27024,Lowgap,NC,27024,Zip matches ZCTA,0
27025,Madison,NC,27025,Zip matches ZCTA,5
27027,Mayodan,NC,27027,Zip matches ZCTA,3
27028,Mocksville,NC,27028,Zip matches ZCTA,1
27030,Mount Airy,NC,27030,Zip matches ZCTA,5
27031,Mount Airy,NC,27030,Spatial join to ZCTA,5
27049,Toast,NC,27030,Spatial join to ZCTA,5
27040,Pfafftown,NC,27040,Zip matches ZCTA,2
27041,Pilot Mountain,NC,27041,Zip matches ZCTA,0
27042,Pine Hall,NC,27042,Zip matches ZCTA,0
27043,Pinnacle,NC,27043,Zip matches ZCTA,0
27045,Rural Hall,NC,27045,Zip matches ZCTA,2
27094,Rural Hall,NC,27045,Spatial join to ZCTA,2
27098,Rural Hall,NC,27045,Spatial join to ZCTA,2
27099,Rural Hall,NC,27045,Spatial join to ZCTA,2
27046,Sandy Ridge,NC,27046,Zip matches ZCTA,0
27047,Siloam,NC,27047,Zip matches ZCTA,0
27048,Stoneville,NC,27048,Zip matches ZCTA,1
27050,Tobaccoville,NC,27050,Zip matches ZCTA,1
27051,Walkertown,NC,27051,Zip matches ZCTA,3
27052,Walnut Cove,NC,27052,Zip matches ZCTA,0
27053,Westfield,NC,27053,Zip matches ZCTA,0
27054,Woodleaf,NC,27054,Zip matches ZCTA,0
27055,Yadkinville,NC,27055,Zip matches ZCTA,3
27101,Winston Salem,NC,27101,Zip matches ZCTA,25
27108,Winston Salem,NC,27101,Spatial join to ZCTA,25
27111,Winston Salem,NC,27101,Spatial join to ZCTA,25
27113,Winston Salem,NC,27101,Spatial join to ZCTA,25
27120,Winston Salem,NC,27101,Spatial join to ZCTA,25
27150,Winston Salem,NC,27101,Spatial join to ZCTA,25
27152,Winston Salem,NC,27101,Spatial join to ZCTA,25
27155,Winston Salem,NC,27101,Spatial join to ZCTA,25
27102,Winston Salem,NC,27105,Spatial join to ZCTA,22
27105,Winston Salem,NC,27105,Zip matches ZCTA,22
27115,Winston Salem,NC,27105,Spatial join to ZCTA,22
