ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
27201,Alamance County,NC,37001,H1
27202,Alamance County,NC,37001,H1
27215,Alamance County,NC,37001,H1
27216,Alamance County,NC,37001,H1
27217,Alamance County,NC,37001,H1
27244,Alamance County,NC,37001,H1
27249,Alamance County,NC,37001,H1
27253,Alamance County,NC,37001,H1
27258,Alamance County,NC,37001,H1
27298,Alamance County,NC,37001,H1
27302,Alamance County,NC,37001,H1
27340,Alamance County,NC,37001,H1
27344,Alamance County,NC,37001,H1
27349,Alamance County,NC,37001,H1
27359,Alamance County,NC,37001,H1
28601,Alexander County,NC,37003,H1
28625,Alexander County,NC,37003,H1
28630,Alexander County,NC,37003,H1
28636,Alexander County,NC,37003,H1
28654,Alexander County,NC,37003,H1
28678,Alexander County,NC,37003,H1
28681,Alexander County,NC,37003,H1
28689,Alexander County,NC,37003,H1
27017,Alleghany County,NC,37005,H1
28617,Alleghany County,NC,37005,H1
28623,Alleghany County,NC,37005,H1
28627,Alleghany County,NC,37005,H1
28631,Alleghany County,NC,37005,H1
28644,Alleghany County,NC,37005,H1
28663,Alleghany County,NC,37005,H1
28668,Alleghany County,NC,37005,H1
28672,Alleghany County,NC,37005,H1
28675,Alleghany County,NC,37005,H1
28007,Anson County,NC,37007,H1
28091,Anson County,NC,37007,H1
28102,Anson County,NC,37007,H1
28103,Anson County,NC,37007,H1
28119,Anson County,NC,37007,H1
28133,Anson County,NC,37007,H1
28135,Anson County,NC,37007,H1
28170,Anson County,NC,37007,H1
28615,Ashe County,NC,37009,H1
28617,Ashe County,NC,37009,H1
28618,Ashe County,NC,37009,H1
28626,Ashe County,NC,37009,H1
28629,Ashe County,NC,37009,H1
28631,Ashe County,NC,37009,H1
28640,Ashe County,NC,37009,H1
28643,Ashe County,NC,37009,H1
28644,Ashe County,NC,37009,H1
28672,Ashe County,NC,37009,H1
28684,Ashe County,NC,37009,H1
28693,Ashe County,NC,37009,H1
28694,Ashe County,NC,37009,H1
28698,Ashe County,NC,37009,H1
28604,Avery County,NC,37011,H1
28605,Avery County,NC,37011,H1
28611,Avery County,NC,37011,H1
28616,Avery County,NC,37011,H1
28622,Avery County,NC,37011,H1
28646,Avery County,NC,37011,H1
28652,Avery County,NC,37011,H1
28653,Avery County,NC,37011,H1
28657,Avery County,NC,37011,H1
28662,Avery County,NC,37011,H1
28664,Avery County,NC,37011,H1
28679,Avery County,NC,37011,H1
28777,Avery County,NC,37011,H1
27806,Beaufort County,NC,37013,H1
27808,Beaufort County,NC,37013,H1
27810,Beaufort County,NC,37013,H1
